word,definition,part_of_speech,points,scrabble_valid,length,first_letter,last_letter
AACM,Valid English Scrabble word: AACM,noun,8,true,4,A,M
AACN,Valid English Scrabble word: AACN,noun,6,true,4,A,N
AACO,Valid English Scrabble word: AACO,noun,6,true,4,A,O
AACP,Valid English Scrabble word: AACP,noun,8,true,4,A,P
AACQ,Valid English Scrabble word: AACQ,noun,15,true,4,A,Q
AACR,Valid English Scrabble word: AACR,noun,6,true,4,A,R
AACS,Valid English Scrabble word: AACS,noun,6,true,4,A,S
AACT,Valid English Scrabble word: AACT,noun,6,true,4,A,T
AACU,Valid English Scrabble word: AACU,noun,6,true,4,A,U
AACV,Valid English Scrabble word: AACV,noun,9,true,4,A,V
AACW,Valid English Scrabble word: AACW,noun,9,true,4,A,W
AACX,Valid English Scrabble word: AACX,noun,13,true,4,A,X
AACY,Valid English Scrabble word: AACY,noun,9,true,4,A,Y
AACZ,Valid English Scrabble word: AACZ,noun,15,true,4,A,Z
AAD,Valid English Scrabble word: AAD,noun,4,true,3,A,D
AADA,Valid English Scrabble word: AADA,noun,5,true,4,A,A
AADB,Valid English Scrabble word: AADB,noun,7,true,4,A,B
AADC,Valid English Scrabble word: AADC,noun,7,true,4,A,C
AADD,Valid English Scrabble word: AADD,noun,6,true,4,A,D
AADE,Valid English Scrabble word: AADE,noun,5,true,4,A,E
AADF,Valid English Scrabble word: AADF,noun,8,true,4,A,F
AADG,Valid English Scrabble word: AADG,noun,6,true,4,A,G
AADH,Valid English Scrabble word: AADH,noun,8,true,4,A,H
AADI,Valid English Scrabble word: AADI,noun,5,true,4,A,I
AADJ,Valid English Scrabble word: AADJ,noun,12,true,4,A,J
AADK,Valid English Scrabble word: AADK,noun,9,true,4,A,K
AADL,Valid English Scrabble word: AADL,noun,5,true,4,A,L
AADM,Valid English Scrabble word: AADM,noun,7,true,4,A,M
AADN,Valid English Scrabble word: AADN,noun,5,true,4,A,N
AADO,Valid English Scrabble word: AADO,noun,5,true,4,A,O
AADP,Valid English Scrabble word: AADP,noun,7,true,4,A,P
AADQ,Valid English Scrabble word: AADQ,noun,14,true,4,A,Q
AADR,Valid English Scrabble word: AADR,noun,5,true,4,A,R
AADS,Valid English Scrabble word: AADS,noun,5,true,4,A,S
AADT,Valid English Scrabble word: AADT,noun,5,true,4,A,T
AADU,Valid English Scrabble word: AADU,noun,5,true,4,A,U
AADV,Valid English Scrabble word: AADV,noun,8,true,4,A,V
AADW,Valid English Scrabble word: AADW,noun,8,true,4,A,W
AADX,Valid English Scrabble word: AADX,noun,12,true,4,A,X
AADY,Valid English Scrabble word: AADY,noun,8,true,4,A,Y
AADZ,Valid English Scrabble word: AADZ,noun,14,true,4,A,Z
AAEB,Valid English Scrabble word: AAEB,noun,6,true,4,A,B
AAF,Valid English Scrabble word: AAF,noun,6,true,3,A,F
AAG,Valid English Scrabble word: AAG,noun,4,true,3,A,G
AAH,Valid English Scrabble word: AAH,noun,6,true,3,A,H
AAJ,Valid English Scrabble word: AAJ,noun,10,true,3,A,J
AAK,Valid English Scrabble word: AAK,noun,7,true,3,A,K
AAL,Valid English Scrabble word: AAL,noun,3,true,3,A,L
AAM,Valid English Scrabble word: AAM,noun,5,true,3,A,M
AAN,Valid English Scrabble word: AAN,noun,3,true,3,A,N
AAP,Valid English Scrabble word: AAP,noun,5,true,3,A,P
AAQ,Valid English Scrabble word: AAQ,noun,12,true,3,A,Q
AAR,Valid English Scrabble word: AAR,noun,3,true,3,A,R
AAS,Valid English Scrabble word: AAS,noun,3,true,3,A,S
AAT,Valid English Scrabble word: AAT,noun,3,true,3,A,T
AAV,Valid English Scrabble word: AAV,noun,6,true,3,A,V
AAW,Valid English Scrabble word: AAW,noun,6,true,3,A,W
AAX,Valid English Scrabble word: AAX,noun,10,true,3,A,X
AAY,Valid English Scrabble word: AAY,noun,6,true,3,A,Y
AAZ,Valid English Scrabble word: AAZ,noun,12,true,3,A,Z
AB,Valid English Scrabble word: AB,noun,4,true,2,A,B
ABA,Valid English Scrabble word: ABA,noun,5,true,3,A,A
ABB,Valid English Scrabble word: ABB,noun,7,true,3,A,B
ABC,Valid English Scrabble word: ABC,noun,7,true,3,A,C
ABD,Valid English Scrabble word: ABD,noun,6,true,3,A,D
ABE,Valid English Scrabble word: ABE,noun,5,true,3,A,E
ABF,Valid English Scrabble word: ABF,noun,8,true,3,A,F
ABG,Valid English Scrabble word: ABG,noun,6,true,3,A,G
ABH,Valid English Scrabble word: ABH,noun,8,true,3,A,H
ABI,Valid English Scrabble word: ABI,noun,5,true,3,A,I
ABJ,Valid English Scrabble word: ABJ,noun,12,true,3,A,J
ABK,Valid English Scrabble word: ABK,noun,9,true,3,A,K
ABL,Valid English Scrabble word: ABL,noun,5,true,3,A,L
ABM,Valid English Scrabble word: ABM,noun,7,true,3,A,M
ABN,Valid English Scrabble word: ABN,noun,5,true,3,A,N
ABO,Valid English Scrabble word: ABO,noun,5,true,3,A,O
ABP,Valid English Scrabble word: ABP,noun,7,true,3,A,P
ABQ,Valid English Scrabble word: ABQ,noun,14,true,3,A,Q
ABR,Valid English Scrabble word: ABR,noun,5,true,3,A,R
ABS,Valid English Scrabble word: ABS,noun,5,true,3,A,S
ABT,Valid English Scrabble word: ABT,noun,5,true,3,A,T
ABU,Valid English Scrabble word: ABU,noun,5,true,3,A,U
ABV,Valid English Scrabble word: ABV,noun,8,true,3,A,V
ABW,Valid English Scrabble word: ABW,noun,8,true,3,A,W
ABX,Valid English Scrabble word: ABX,noun,12,true,3,A,X
ABY,Valid English Scrabble word: ABY,noun,8,true,3,A,Y
ABZ,Valid English Scrabble word: ABZ,noun,14,true,3,A,Z
AC,Valid English Scrabble word: AC,noun,4,true,2,A,C
ACA,Valid English Scrabble word: ACA,noun,5,true,3,A,A
ACB,Valid English Scrabble word: ACB,noun,7,true,3,A,B
ACC,Valid English Scrabble word: ACC,noun,7,true,3,A,C
ACD,Valid English Scrabble word: ACD,noun,6,true,3,A,D
ACE,Valid English Scrabble word: ACE,noun,5,true,3,A,E
ACF,Valid English Scrabble word: ACF,noun,8,true,3,A,F
ACG,Valid English Scrabble word: ACG,noun,6,true,3,A,G
ACH,Valid English Scrabble word: ACH,noun,8,true,3,A,H
ACI,Valid English Scrabble word: ACI,noun,5,true,3,A,I
ACJ,Valid English Scrabble word: ACJ,noun,12,true,3,A,J
ACK,Valid English Scrabble word: ACK,noun,9,true,3,A,K
ACL,Valid English Scrabble word: ACL,noun,5,true,3,A,L
ACM,Valid English Scrabble word: ACM,noun,7,true,3,A,M
ACN,Valid English Scrabble word: ACN,noun,5,true,3,A,N
ACO,Valid English Scrabble word: ACO,noun,5,true,3,A,O
ACP,Valid English Scrabble word: ACP,noun,7,true,3,A,P
ACQ,Valid English Scrabble word: ACQ,noun,14,true,3,A,Q
ACR,Valid English Scrabble word: ACR,noun,5,true,3,A,R
ACS,Valid English Scrabble word: ACS,noun,5,true,3,A,S
ACT,Valid English Scrabble word: ACT,noun,5,true,3,A,T
ACU,Valid English Scrabble word: ACU,noun,5,true,3,A,U
ACV,Valid English Scrabble word: ACV,noun,8,true,3,A,V
ACW,Valid English Scrabble word: ACW,noun,8,true,3,A,W
ACX,Valid English Scrabble word: ACX,noun,12,true,3,A,X
ACY,Valid English Scrabble word: ACY,noun,8,true,3,A,Y
ACZ,Valid English Scrabble word: ACZ,noun,14,true,3,A,Z
AD,Valid English Scrabble word: AD,noun,3,true,2,A,D
ADA,Valid English Scrabble word: ADA,noun,4,true,3,A,A
ADB,Valid English Scrabble word: ADB,noun,6,true,3,A,B
ADC,Valid English Scrabble word: ADC,noun,6,true,3,A,C
ADD,Valid English Scrabble word: ADD,noun,5,true,3,A,D
ADE,Valid English Scrabble word: ADE,noun,4,true,3,A,E
ADF,Valid English Scrabble word: ADF,noun,7,true,3,A,F
ADG,Valid English Scrabble word: ADG,noun,5,true,3,A,G
ADH,Valid English Scrabble word: ADH,noun,7,true,3,A,H
ADI,Valid English Scrabble word: ADI,noun,4,true,3,A,I
ADJ,Valid English Scrabble word: ADJ,noun,11,true,3,A,J
ADK,Valid English Scrabble word: ADK,noun,8,true,3,A,K
ADL,Valid English Scrabble word: ADL,noun,4,true,3,A,L
ADM,Valid English Scrabble word: ADM,noun,6,true,3,A,M
ADN,Valid English Scrabble word: ADN,noun,4,true,3,A,N
ADO,Valid English Scrabble word: ADO,noun,4,true,3,A,O
ADP,Valid English Scrabble word: ADP,noun,6,true,3,A,P
ADQ,Valid English Scrabble word: ADQ,noun,13,true,3,A,Q
ADR,Valid English Scrabble word: ADR,noun,4,true,3,A,R
ADS,Valid English Scrabble word: ADS,noun,4,true,3,A,S
ADT,Valid English Scrabble word: ADT,noun,4,true,3,A,T
ADU,Valid English Scrabble word: ADU,noun,4,true,3,A,U
ADV,Valid English Scrabble word: ADV,noun,7,true,3,A,V
ADW,Valid English Scrabble word: ADW,noun,7,true,3,A,W
ADX,Valid English Scrabble word: ADX,noun,11,true,3,A,X
ADY,Valid English Scrabble word: ADY,noun,7,true,3,A,Y
ADZ,Valid English Scrabble word: ADZ,noun,13,true,3,A,Z
AEB,Valid English Scrabble word: AEB,noun,5,true,3,A,B
AF,Valid English Scrabble word: AF,noun,5,true,2,A,F
AG,Valid English Scrabble word: AG,noun,3,true,2,A,G
AH,Valid English Scrabble word: AH,noun,5,true,2,A,H
AIR,Valid English Scrabble word: AIR,noun,3,true,3,A,R
AJ,Valid English Scrabble word: AJ,noun,9,true,2,A,J
AK,Valid English Scrabble word: AK,noun,6,true,2,A,K
AL,Valid English Scrabble word: AL,noun,2,true,2,A,L
AM,Valid English Scrabble word: AM,noun,4,true,2,A,M
AN,Valid English Scrabble word: AN,noun,2,true,2,A,N
ANTIBOOK,Valid English Scrabble word: ANTIBOOK,noun,14,true,8,A,K
ANTICAR,Valid English Scrabble word: ANTICAR,noun,9,true,7,A,R
ANTICAT,Valid English Scrabble word: ANTICAT,noun,9,true,7,A,T
ANTICHAIR,Valid English Scrabble word: ANTICHAIR,noun,14,true,9,A,R
ANTICITY,Valid English Scrabble word: ANTICITY,noun,13,true,8,A,Y
ANTICOUNTRY,Valid English Scrabble word: ANTICOUNTRY,noun,16,true,11,A,Y
ANTIDAY,Valid English Scrabble word: ANTIDAY,noun,11,true,7,A,Y
ANTIDOG,Valid English Scrabble word: ANTIDOG,noun,9,true,7,A,G
ANTIDOOR,Valid English Scrabble word: ANTIDOOR,noun,9,true,8,A,R
ANTIFLOWER,Valid English Scrabble word: ANTIFLOWER,noun,16,true,10,A,R
ANTIHOUSE,Valid English Scrabble word: ANTIHOUSE,noun,12,true,9,A,E
ANTILIFE,Valid English Scrabble word: ANTILIFE,noun,11,true,8,A,E
ANTINIGHT,Valid English Scrabble word: ANTINIGHT,noun,13,true,9,A,T
ANTIROAD,Valid English Scrabble word: ANTIROAD,noun,9,true,8,A,D
ANTISUN,Valid English Scrabble word: ANTISUN,noun,7,true,7,A,N
ANTITABLE,Valid English Scrabble word: ANTITABLE,noun,11,true,9,A,E
ANTITIME,Valid English Scrabble word: ANTITIME,noun,10,true,8,A,E
ANTITREE,Valid English Scrabble word: ANTITREE,noun,8,true,8,A,E
ANTIWINDOW,Valid English Scrabble word: ANTIWINDOW,noun,17,true,10,A,W
ANTIWORLD,Valid English Scrabble word: ANTIWORLD,noun,13,true,9,A,D
AP,Valid English Scrabble word: AP,noun,4,true,2,A,P
AQ,Valid English Scrabble word: AQ,noun,11,true,2,A,Q
AR,Valid English Scrabble word: AR,noun,2,true,2,A,R
AS,Valid English Scrabble word: AS,noun,2,true,2,A,S
AT,Valid English Scrabble word: AT,noun,2,true,2,A,T
AUTOBOOK,Valid English Scrabble word: AUTOBOOK,noun,14,true,8,A,K
AUTOCAR,Valid English Scrabble word: AUTOCAR,noun,9,true,7,A,R
AUTOCAT,Valid English Scrabble word: AUTOCAT,noun,9,true,7,A,T
AUTOCHAIR,Valid English Scrabble word: AUTOCHAIR,noun,14,true,9,A,R
AUTOCITY,Valid English Scrabble word: AUTOCITY,noun,13,true,8,A,Y
AUTOCOUNTRY,Valid English Scrabble word: AUTOCOUNTRY,noun,16,true,11,A,Y
AUTODAY,Valid English Scrabble word: AUTODAY,noun,11,true,7,A,Y
AUTODOG,Valid English Scrabble word: AUTODOG,noun,9,true,7,A,G
AUTODOOR,Valid English Scrabble word: AUTODOOR,noun,9,true,8,A,R
AUTOFLOWER,Valid English Scrabble word: AUTOFLOWER,noun,16,true,10,A,R
AUTOHOUSE,Valid English Scrabble word: AUTOHOUSE,noun,12,true,9,A,E
AUTOLIFE,Valid English Scrabble word: AUTOLIFE,noun,11,true,8,A,E
AUTONIGHT,Valid English Scrabble word: AUTONIGHT,noun,13,true,9,A,T
AUTOROAD,Valid English Scrabble word: AUTOROAD,noun,9,true,8,A,D
AUTOSUN,Valid English Scrabble word: AUTOSUN,noun,7,true,7,A,N
AUTOTABLE,Valid English Scrabble word: AUTOTABLE,noun,11,true,9,A,E
AUTOTIME,Valid English Scrabble word: AUTOTIME,noun,10,true,8,A,E
AUTOTREE,Valid English Scrabble word: AUTOTREE,noun,8,true,8,A,E
AUTOWINDOW,Valid English Scrabble word: AUTOWINDOW,noun,17,true,10,A,W
AUTOWORLD,Valid English Scrabble word: AUTOWORLD,noun,13,true,9,A,D
AV,Valid English Scrabble word: AV,noun,5,true,2,A,V
AW,Valid English Scrabble word: AW,noun,5,true,2,A,W
AX,Valid English Scrabble word: AX,noun,9,true,2,A,X
AXLE,Valid English Scrabble word: AXLE,noun,11,true,4,A,E
AY,Valid English Scrabble word: AY,noun,5,true,2,A,Y
AZ,Valid English Scrabble word: AZ,noun,11,true,2,A,Z
BA,Valid English Scrabble word: BA,noun,4,true,2,B,A
BAD,Valid English Scrabble word: BAD,noun,6,true,3,B,D
BE,Valid English Scrabble word: BE,noun,4,true,2,B,E
BEAUTIFUL,Valid English Scrabble word: BEAUTIFUL,noun,14,true,9,B,L
BI,Valid English Scrabble word: BI,noun,4,true,2,B,I
BIG,Valid English Scrabble word: BIG,noun,6,true,3,B,G
BO,Valid English Scrabble word: BO,noun,4,true,2,B,O
BOOK,Valid English Scrabble word: BOOK,noun,10,true,4,B,K
BOOKED,Valid English Scrabble word: BOOKED,noun,13,true,6,B,D
BOOKER,Valid English Scrabble word: BOOKER,noun,12,true,6,B,R
BOOKEST,Valid English Scrabble word: BOOKEST,noun,13,true,7,B,T
BOOKING,Valid English Scrabble word: BOOKING,noun,14,true,7,B,G
BOOKLY,Valid English Scrabble word: BOOKLY,noun,15,true,6,B,Y
BOOKMENT,Valid English Scrabble word: BOOKMENT,noun,16,true,8,B,T
BOOKNESS,Valid English Scrabble word: BOOKNESS,noun,14,true,8,B,S
BOOKS,Valid English Scrabble word: BOOKS,noun,11,true,5,B,S
BOOKTION,Valid English Scrabble word: BOOKTION,noun,14,true,8,B,N
BU,Valid English Scrabble word: BU,noun,4,true,2,B,U
BUZZ,Valid English Scrabble word: BUZZ,noun,24,true,4,B,Z
CA,Valid English Scrabble word: CA,noun,4,true,2,C,A
CAR,Valid English Scrabble word: CAR,noun,5,true,3,C,R
CARED,Valid English Scrabble word: CARED,noun,8,true,5,C,D
CARER,Valid English Scrabble word: CARER,noun,7,true,5,C,R
CAREST,Valid English Scrabble word: CAREST,noun,8,true,6,C,T
CARING,Valid English Scrabble word: CARING,noun,9,true,6,C,G
CARLY,Valid English Scrabble word: CARLY,noun,10,true,5,C,Y
CARMENT,Valid English Scrabble word: CARMENT,noun,11,true,7,C,T
CARNESS,Valid English Scrabble word: CARNESS,noun,9,true,7,C,S
CARS,Valid English Scrabble word: CARS,noun,6,true,4,C,S
CARTION,Valid English Scrabble word: CARTION,noun,9,true,7,C,N
CAT,Valid English Scrabble word: CAT,noun,5,true,3,C,T
CATED,Valid English Scrabble word: CATED,noun,8,true,5,C,D
CATER,Valid English Scrabble word: CATER,noun,7,true,5,C,R
CATEST,Valid English Scrabble word: CATEST,noun,8,true,6,C,T
CATING,Valid English Scrabble word: CATING,noun,9,true,6,C,G
CATLY,Valid English Scrabble word: CATLY,noun,10,true,5,C,Y
CATMENT,Valid English Scrabble word: CATMENT,noun,11,true,7,C,T
CATNESS,Valid English Scrabble word: CATNESS,noun,9,true,7,C,S
CATS,Valid English Scrabble word: CATS,noun,6,true,4,C,S
CATTION,Valid English Scrabble word: CATTION,noun,9,true,7,C,N
CE,Valid English Scrabble word: CE,noun,4,true,2,C,E
CHAIR,Valid English Scrabble word: CHAIR,noun,10,true,5,C,R
CHAIRED,Valid English Scrabble word: CHAIRED,noun,13,true,7,C,D
CHAIRER,Valid English Scrabble word: CHAIRER,noun,12,true,7,C,R
CHAIREST,Valid English Scrabble word: CHAIREST,noun,13,true,8,C,T
CHAIRING,Valid English Scrabble word: CHAIRING,noun,14,true,8,C,G
CHAIRLY,Valid English Scrabble word: CHAIRLY,noun,15,true,7,C,Y
CHAIRMENT,Valid English Scrabble word: CHAIRMENT,noun,16,true,9,C,T
CHAIRNESS,Valid English Scrabble word: CHAIRNESS,noun,14,true,9,C,S
CHAIRS,Valid English Scrabble word: CHAIRS,noun,11,true,6,C,S
CHAIRTION,Valid English Scrabble word: CHAIRTION,noun,14,true,9,C,N
CI,Valid English Scrabble word: CI,noun,4,true,2,C,I
CITY,Valid English Scrabble word: CITY,noun,9,true,4,C,Y
CITYED,Valid English Scrabble word: CITYED,noun,12,true,6,C,D
CITYER,Valid English Scrabble word: CITYER,noun,11,true,6,C,R
CITYEST,Valid English Scrabble word: CITYEST,noun,12,true,7,C,T
CITYING,Valid English Scrabble word: CITYING,noun,13,true,7,C,G
CITYLY,Valid English Scrabble word: CITYLY,noun,14,true,6,C,Y
CITYMENT,Valid English Scrabble word: CITYMENT,noun,15,true,8,C,T
CITYNESS,Valid English Scrabble word: CITYNESS,noun,13,true,8,C,S
CITYTION,Valid English Scrabble word: CITYTION,noun,13,true,8,C,N
CO,Valid English Scrabble word: CO,noun,4,true,2,C,O
COLD,Valid English Scrabble word: COLD,noun,7,true,4,C,D
COUNTRY,Valid English Scrabble word: COUNTRY,noun,12,true,7,C,Y
COUNTRYED,Valid English Scrabble word: COUNTRYED,noun,15,true,9,C,D
COUNTRYER,Valid English Scrabble word: COUNTRYER,noun,14,true,9,C,R
COUNTRYEST,Valid English Scrabble word: COUNTRYEST,noun,15,true,10,C,T
COUNTRYING,Valid English Scrabble word: COUNTRYING,noun,16,true,10,C,G
COUNTRYLY,Valid English Scrabble word: COUNTRYLY,noun,17,true,9,C,Y
COUNTRYMENT,Valid English Scrabble word: COUNTRYMENT,noun,18,true,11,C,T
COUNTRYNESS,Valid English Scrabble word: COUNTRYNESS,noun,16,true,11,C,S
COUNTRYTION,Valid English Scrabble word: COUNTRYTION,noun,16,true,11,C,N
CU,Valid English Scrabble word: CU,noun,4,true,2,C,U
DA,Valid English Scrabble word: DA,noun,3,true,2,D,A
DAY,Valid English Scrabble word: DAY,noun,7,true,3,D,Y
DAYED,Valid English Scrabble word: DAYED,noun,10,true,5,D,D
DAYER,Valid English Scrabble word: DAYER,noun,9,true,5,D,R
DAYEST,Valid English Scrabble word: DAYEST,noun,10,true,6,D,T
DAYING,Valid English Scrabble word: DAYING,noun,11,true,6,D,G
DAYLY,Valid English Scrabble word: DAYLY,noun,12,true,5,D,Y
DAYMENT,Valid English Scrabble word: DAYMENT,noun,13,true,7,D,T
DAYNESS,Valid English Scrabble word: DAYNESS,noun,11,true,7,D,S
DAYTION,Valid English Scrabble word: DAYTION,noun,11,true,7,D,N
DE,Valid English Scrabble word: DE,noun,3,true,2,D,E
DI,Valid English Scrabble word: DI,noun,3,true,2,D,I
DO,Valid English Scrabble word: DO,noun,3,true,2,D,O
DOG,Valid English Scrabble word: DOG,noun,5,true,3,D,G
DOGED,Valid English Scrabble word: DOGED,noun,8,true,5,D,D
DOGER,Valid English Scrabble word: DOGER,noun,7,true,5,D,R
DOGEST,Valid English Scrabble word: DOGEST,noun,8,true,6,D,T
DOGING,Valid English Scrabble word: DOGING,noun,9,true,6,D,G
DOGLY,Valid English Scrabble word: DOGLY,noun,10,true,5,D,Y
DOGMENT,Valid English Scrabble word: DOGMENT,noun,11,true,7,D,T
DOGNESS,Valid English Scrabble word: DOGNESS,noun,9,true,7,D,S
DOGS,Valid English Scrabble word: DOGS,noun,6,true,4,D,S
DOGTION,Valid English Scrabble word: DOGTION,noun,9,true,7,D,N
DOOR,Valid English Scrabble word: DOOR,noun,5,true,4,D,R
DOORED,Valid English Scrabble word: DOORED,noun,8,true,6,D,D
DOORER,Valid English Scrabble word: DOORER,noun,7,true,6,D,R
DOOREST,Valid English Scrabble word: DOOREST,noun,8,true,7,D,T
DOORING,Valid English Scrabble word: DOORING,noun,9,true,7,D,G
DOORLY,Valid English Scrabble word: DOORLY,noun,10,true,6,D,Y
DOORMENT,Valid English Scrabble word: DOORMENT,noun,11,true,8,D,T
DOORNESS,Valid English Scrabble word: DOORNESS,noun,9,true,8,D,S
DOORS,Valid English Scrabble word: DOORS,noun,6,true,5,D,S
DOORTION,Valid English Scrabble word: DOORTION,noun,9,true,8,D,N
DU,Valid English Scrabble word: DU,noun,3,true,2,D,U
EARTH,Valid English Scrabble word: EARTH,noun,8,true,5,E,H
EAT,Valid English Scrabble word: EAT,noun,3,true,3,E,T
EATEN,Valid English Scrabble word: EATEN,noun,5,true,5,E,N
EATER,Valid English Scrabble word: EATER,noun,5,true,5,E,R
EATERS,Valid English Scrabble word: EATERS,noun,6,true,6,E,S
EATING,Valid English Scrabble word: EATING,noun,7,true,6,E,G
EATS,Valid English Scrabble word: EATS,noun,4,true,4,E,S
EB,Valid English Scrabble word: EB,noun,4,true,2,E,B
EC,Valid English Scrabble word: EC,noun,4,true,2,E,C
ED,Valid English Scrabble word: ED,noun,3,true,2,E,D
EF,Valid English Scrabble word: EF,noun,5,true,2,E,F
EG,Valid English Scrabble word: EG,noun,3,true,2,E,G
EH,Valid English Scrabble word: EH,noun,5,true,2,E,H
EJ,Valid English Scrabble word: EJ,noun,9,true,2,E,J
EK,Valid English Scrabble word: EK,noun,6,true,2,E,K
EL,Valid English Scrabble word: EL,noun,2,true,2,E,L
EM,Valid English Scrabble word: EM,noun,4,true,2,E,M
EN,Valid English Scrabble word: EN,noun,2,true,2,E,N
EP,Valid English Scrabble word: EP,noun,4,true,2,E,P
EQ,Valid English Scrabble word: EQ,noun,11,true,2,E,Q
ER,Valid English Scrabble word: ER,noun,2,true,2,E,R
ES,Valid English Scrabble word: ES,noun,2,true,2,E,S
ET,Valid English Scrabble word: ET,noun,2,true,2,E,T
EV,Valid English Scrabble word: EV,noun,5,true,2,E,V
EW,Valid English Scrabble word: EW,noun,5,true,2,E,W
EX,Valid English Scrabble word: EX,noun,9,true,2,E,X
EY,Valid English Scrabble word: EY,noun,5,true,2,E,Y
EZ,Valid English Scrabble word: EZ,noun,11,true,2,E,Z
FA,Valid English Scrabble word: FA,noun,5,true,2,F,A
FE,Valid English Scrabble word: FE,noun,5,true,2,F,E
FI,Valid English Scrabble word: FI,noun,5,true,2,F,I
FIRE,Valid English Scrabble word: FIRE,noun,7,true,4,F,E
FIZZ,Valid English Scrabble word: FIZZ,noun,25,true,4,F,Z
FLOWER,Valid English Scrabble word: FLOWER,noun,12,true,6,F,R
FLOWERED,Valid English Scrabble word: FLOWERED,noun,15,true,8,F,D
FLOWERER,Valid English Scrabble word: FLOWERER,noun,14,true,8,F,R
FLOWEREST,Valid English Scrabble word: FLOWEREST,noun,15,true,9,F,T
FLOWERING,Valid English Scrabble word: FLOWERING,noun,16,true,9,F,G
FLOWERLY,Valid English Scrabble word: FLOWERLY,noun,17,true,8,F,Y
